0.685727,0.795263,0.627686,0.000855,0.228158,0.172815,0.298794,0.363875,0.131206,0.583843
0.125297,0.802174,0.077822,0.788847,0.981218,0.641809,0.157271,0.416996,0.377699,0.832901
0.486434,0.487988,0.872599,0.423542,0.498367,0.604282,0.801035,0.059403,0.535382,0.238332
0.364616,0.334547,0.338232,0.702757,0.471414,0.867723,0.625353,0.315594,0.505145,0.626668
0.214189,0.508099,0.560481,0.559546,0.337550,0.421453,0.568812,0.705611,0.549500,0.761631
0.519687,0.454039,0.286325,0.430668,0.557592,0.225826,0.834221,0.586244,0.789121,0.085092
0.649945,0.069240,0.697434,0.371476,0.630614,0.212056,0.252239,0.896623,0.561344,0.067961
0.738981,0.415897,0.148972,0.364678,0.609689,0.227044,0.305792,0.333633,0.576928,0.063218
0.206111,0.364472,0.941952,0.196723,0.122375,0.017593,0.002244,0.433399,0.683081,0.278892
0.572083,0.239207,0.958538,0.780943,0.646020,0.161540,0.631619,0.556495,0.519595,0.181119
0.675069,0.131282,0.333932,0.671639,0.690949,0.300282,0.927550,0.170784,0.689118,0.400130
0.135522,0.297167,0.131427,0.792221,0.806691,0.013622,0.234955,0.617139,0.342583,0.422472
0.999609,0.870840,0.937572,0.580362,0.926544,0.482159,0.407316,0.709689,0.783552,0.358744
0.376940,0.551252,0.405263,0.025521,0.904712,0.338376,0.432483,0.251656,0.134775,0.410342
0.314436,0.930095,0.282672,0.005865,0.730345,0.774268,0.283825,0.094385,0.222327,0.467287
0.182185,0.451973,0.361217,0.548023,0.282465,0.945329,0.203912,0.125606,0.899863,0.880244
0.854903,0.059604,0.253359,0.616356,0.653183,0.856419,0.989274,0.929512,0.503530,0.591544
0.677909,0.023661,0.199796,0.964573,0.193699,0.568455,0.408716,0.682802,0.238976,0.853020
0.186303,0.574230,0.011870,0.822308,0.981713,0.807435,0.352391,0.264977,0.200672,0.582135
0.484346,0.448102,0.557354,0.748636,0.102015,0.509509,0.102527,0.692739,0.514889,0.001603
