0.652508,0.233697,0.814627,0.082579,0.234571,0.214663,0.865878,0.889716,0.840296,0.399321
0.715288,0.810561,0.939920,0.115426,0.577384,0.024206,0.401554,0.603493,0.795691,0.305806
0.365977,0.917044,0.469768,0.872635,0.058583,0.678937,0.799645,0.893822,0.856091,0.150174
0.909826,0.607910,0.698585,0.231773,0.810395,0.443710,0.672479,0.042376,0.955998,0.053323
0.148420,0.234358,0.977140,0.976552,0.060328,0.635656,0.142008,0.466708,0.459299,0.904521
0.937953,0.862214,0.518827,0.048721,0.377759,0.154999,0.491609,0.636905,0.584364,0.685316
0.647064,0.412156,0.405222,0.516300,0.684360,0.117372,0.982010,0.530471,0.985137,0.461406
0.225981,0.554731,0.508800,0.153966,0.947298,0.317170,0.544515,0.167666,0.767209,0.547826
0.056165,0.572894,0.382622,0.543041,0.016727,0.551362,0.646558,0.355659,0.490053,0.416426
0.880796,0.597545,0.782645,0.970712,0.142509,0.743520,0.432078,0.863775,0.632435,0.677823
