0.539978,0.053710,0.159400,0.264776,0.003937,0.673475,0.166567,0.368024,0.165176,0.678655,0.453372,0.689093,0.587451,0.206918,0.959823,0.266296,0.680105,0.270547,0.058100,0.457630
0.547354,0.223804,0.847673,0.809454,0.237868,0.327686,0.123891,0.655246,0.345033,0.157606,0.408962,0.083735,0.724658,0.172658,0.044893,0.666312,0.624018,0.993558,0.755619,0.973551
0.309812,0.337673,0.046190,0.914228,0.857290,0.973682,0.661129,0.419742,0.166484,0.061559,0.306330,0.533311,0.067491,0.640664,0.720196,0.653998,0.322551,0.548218,0.309729,0.704481
0.446192,0.933936,0.274768,0.714967,0.689129,0.724075,0.465922,0.957766,0.026644,0.038659,0.128269,0.730369,0.647265,0.124312,0.858063,0.278091,0.108582,0.892900,0.063440,0.911403
0.120574,0.052168,0.318861,0.840288,0.320921,0.105113,0.610476,0.981822,0.468837,0.989831,0.977890,0.661928,0.703353,0.756327,0.993983,0.670892,0.311379,0.380727,0.470282,0.284468
0.915022,0.899354,0.633314,0.864497,0.090476,0.962273,0.114853,0.533077,0.555578,0.445649,0.757663,0.524817,0.616826,0.286606,0.750624,0.106822,0.152001,0.792576,0.567131,0.573404
0.828817,0.648485,0.108356,0.651894,0.587258,0.039617,0.825862,0.392974,0.683963,0.909756,0.751297,0.452512,0.963375,0.633171,0.813942,0.758003,0.853658,0.884040,0.381622,0.827597
0.914167,0.628211,0.517365,0.133786,0.734931,0.983619,0.395048,0.774204,0.900282,0.356826,0.316954,0.100880,0.840720,0.079017,0.168373,0.518943,0.978873,0.340396,0.011217,0.952621
0.116869,0.743156,0.904993,0.363594,0.111520,0.760986,0.465107,0.906845,0.076736,0.089542,0.305840,0.087639,0.477934,0.071638,0.700214,0.988773,0.286388,0.150060,0.756920,0.290978
0.366501,0.548979,0.314489,0.421632,0.458298,0.005671,0.232818,0.373147,0.577186,0.704441,0.322365,0.849676,0.204733,0.468723,0.128016,0.101702,0.214908,0.258120,0.031702,0.169997
